"n","m","Power","Speed","Spotsize","Peclet","HannDensity","HannDensity100%","HannThreshold","Keyhole?","FabbroRatio","DThreshold","DThreshold100"
5,1,100,1.9000000000000001,160,3.7309090909090905,2.228211872700623,5.570529681751557,55.944998777859375,"False",0.0398286159867154,-53.716786905158756,-50.374469096107816
5,2,100,1.8000000000000003,160,3.534545454545455,2.2892700782762416,5.7231751956906045,55.05049328440661,"False",0.041584914897114855,-52.761223206130374,-49.32731808871601
6,1,100,1.4000000000000001,160,2.7490909090909095,2.595788276134416,6.48947069033604,51.27372964220305,"False",0.050626086579780225,-48.67794136606864,-44.78425895186701
6,2,100,1.3000000000000003,160,2.552727272727273,2.693776800234147,6.734442000585368,50.27330207271168,"False",0.05358265101301805,-47.57952527247753,-43.53886007212631
7,1,100,1.8000000000000003,140,3.0927272727272728,2.7969516077397087,6.992379019349272,52.96783030640668,"False",0.0528047230094189,-50.170878698666975,-45.97545128705741
7,2,100,1.6,140,2.749090909090909,2.9666151727250467,7.416537931812616,51.27372964220172,"False",0.057858384662607495,-48.30711446947667,-43.8571917103891
8,1,100,1.4000000000000001,140,2.4054545454545457,3.171445021354949,7.928612553387373,49.50635097692085,"False",0.06406137715206342,-46.3349059555659,-41.577738423533475
8,2,150,2.,160,3.927272727272727,3.257688431981194,8.144221079952985,56.82189333233145,"False",0.057331571352755004,-53.564204900350255,-48.677672252378464
9,1,100,1.2000000000000002,140,2.061818181818182,3.425552137109668,8.563880342774171,47.657206065522594,"False",0.07187899627183283,-44.231653928412925,-39.093325722748425
9,2,100,0.8,160,1.5709090909090908,3.433905117414362,8.584762793535905,44.85757748039067,"False",0.07655128320104854,-41.423672362976305,-36.27281468685476
10,1,150,1.5000000000000002,160,2.9454545454545458,3.7616545862805437,9.40413646570136,52.250246288593175,"False",0.07199304986054691,-48.48859170231263,-42.84610982289182
10,2,100,1.,140,1.718181818181818,3.7525043548099895,9.381260887024974,45.71787205425628,"False",0.08207959351994022,-41.96536769944629,-36.33661116723131
11,1,100,0.8,140,1.3745454545454545,4.195427411609563,10.488568529023908,43.68337859418765,"False",0.09604173364392175,-39.48795118257809,-33.19481006516374
11,2,150,1.9000000000000001,140,3.264545454545454,4.08352918177356,10.2088229544339,53.789832935527414,"False",0.0759163759937326,-49.70630375375386,-43.581009981093516
12,1,150,1.6,140,2.749090909090909,4.4499227590875705,11.124806897718926,51.27372964220172,"False",0.08678757699391125,-46.82380688311415,-40.148922744482796
12,2,100,2.,100,2.4545454545454546,4.395398550290385,10.988496375725962,49.763635552123546,"False",0.0883255112196645,-45.36823700183316,-38.77513917639759
13,1,200,1.7000000000000002,160,3.338181818181818,4.711278953201471,11.778197383003677,54.13731872947669,"False",0.08702460823269909,-49.42603977627522,-42.35912134647301
13,2,200,1.8000000000000003,160,3.534545454545455,4.578540156552483,11.446350391381209,55.05049328440661,"False",0.08316982979422971,-50.47195312785413,-43.604142893025404
14,1,200,1.5000000000000002,160,2.9454545454545458,5.015539448374058,12.538848620935145,52.250246288593175,"False",0.09599073314739588,-47.23470684021912,-39.711397667658034
14,2,100,0.9,120,1.3254545454545454,4.984483177953864,12.46120794488466,43.38519821062152,"False",0.11488902629315567,-38.400715032667655,-30.923990265736858
15,1,150,1.1,140,1.89,5.366808777438741,13.417021943596852,46.699277031573565,"False",0.11492273796466315,-41.332468254134824,-33.282255087976715
15,2,100,1.4000000000000001,100,1.718181818181818,5.253506096733985,13.133765241834963,45.71787205425628,"False",0.1149114309279163,-40.4643659575223,-32.58410681242132
16,1,250,1.8000000000000003,160,3.534545454545455,5.723175195690604,14.30793798922651,55.05049328440661,"False",0.10396228724278715,-49.32731808871601,-40.742555295180104
16,2,200,1.2000000000000002,160,2.3563636363636364,5.607543575198097,14.018858937995242,49.247398022386534,"False",0.1138647685030803,-43.63985444718844,-35.228539084391294
17,1,150,1.5000000000000002,120,2.2090909090909094,5.7914461012999,14.47861525324975,48.460271171641345,"False",0.11950915587713468,-42.66882507034145,-33.981655918391596
17,2,150,0.9,140,1.5463636363636362,5.933230345450093,14.833075863625233,44.712479569960806,"False",0.13269741250127892,-38.779249224510714,-29.879403706335573
18,1,200,1.5000000000000002,140,2.5772727272727276,6.127813951237519,15.319534878093798,50.399715853218694,"False",0.12158429561555109,-44.271901901981174,-35.0801809751249
18,2,100,0.6,120,0.8836363636363636,6.104720208736645,15.261800521841613,40.64599169343247,"False",0.1501924286847463,-34.54127148469583,-25.384191171590857
19,1,200,1.3000000000000003,140,2.233636363636364,6.582328073741302,16.455820184353257,48.5925473268085,"False",0.13545962160559205,-42.0102192530672,-32.13672714245524
19,2,150,1.2000000000000002,120,1.7672727272727276,6.475033585266356,16.187583963165892,46.000709010476044,"False",0.14075943011643047,-39.525675425209684,-29.81312504731015
20,1,150,1.9000000000000001,100,2.3318181818181816,6.7643756420766055,16.910939105191513,49.117287850924406,"False",0.13771883461088333,-42.3529122088478,-32.206348745732896
20,2,200,2.,120,2.9454545454545453,6.687385931165412,16.71846482791353,52.25024628859281,"False",0.12798764419652878,-45.5628603574274,-35.531781460679284
21,1,200,1.1,140,1.89,7.155745036584987,17.88936259146247,46.699277031573565,"False",0.15323031728621753,-39.54353199498858,-28.809914440111097
21,2,200,1.8000000000000003,120,2.650909090909091,7.049123711682899,17.622809279207246,50.77660055534698,"False",0.13882622378391182,-43.72747684366408,-33.153791276139735
22,1,100,0.7000000000000001,100,0.859090909090909,7.429579572010945,18.573948930027363,40.493512720086905,"False",0.18347579829312963,-33.06393314807596,-21.91956379005954
22,2,300,1.6,160,3.1418181818181816,7.284412783424648,18.21103195856162,53.20432167120262,"False",0.13691393019615197,-45.91990888777797,-34.993289712641
23,1,350,2.,160,3.927272727272727,7.601273007956118,19.003182519890295,56.82189333233145,"False",0.1337736664897617,-49.22062032437533,-37.818710812441154
23,2,200,1.5000000000000002,120,2.2090909090909094,7.721928135066534,19.304820337666335,48.460271171641345,"False",0.15934554116951294,-40.73834303657481,-29.15545083397501
24,1,150,0.5,140,0.859090909090909,7.9602638271545825,19.900659567886457,40.493512720086905,"False",0.19658121245692461,-32.53324889293232,-20.592853152200448
