"n","m","Power","Speed","Spotsize","Peclet","HannDensity","HannDensity100%","HannThreshold","Keyhole?","FabbroRatio","DThreshold","DThreshold100"
43,1,370,2.,80,1.9636363636363634,22.728198001635818,56.820495004089544,47.11264645410643,"False",0.48242244306474924,-24.384448452470615,9.707848549983112
45,1,370,1.9000000000000001,80,1.8654545454545453,23.318639131583407,58.29659782895852,46.560530978087975,"False",0.5008241667724426,-23.24189184650457,11.736066850870543
47,1,370,1.8000000000000003,80,1.7672727272727276,23.957624265485514,59.89406066371379,46.000709010476044,"False",0.5208098914307928,-22.04308474499053,13.893351653237744
52,1,370,1.6,80,1.5709090909090908,25.41089786886628,63.52724467216569,44.85757748039067,"False",0.5664794956877592,-19.446679611524388,18.669667191775027
55,1,370,1.5000000000000002,80,1.4727272727272729,26.244262468879104,65.61065617219776,44.27427908262215,"True",0.5927654388206649,-18.030016613743047,21.336377089575613
58,1,370,1.4000000000000001,80,1.3745454545454547,27.165392490171925,67.91348122542982,43.68337859418765,"True",0.6218702253443934,-16.517986104015726,24.23010263124217
61,1,370,1.3000000000000003,80,1.2763636363636366,28.190860068238763,70.4771501705969,43.085298507864344,"True",0.654303464164072,-14.894438439625581,27.391851662732556
65,1,370,1.2000000000000002,80,1.1781818181818182,29.341977449880066,73.35494362470017,42.48079628964832,"True",0.6907115688184523,-13.138818839768252,30.874147335051852
80,1,370,0.9,80,0.8836363636363636,33.88119715848837,84.70299289622092,40.64599169343247,"True",0.8335679792003419,-6.764794534944102,44.05700120278845
87,1,370,0.8,80,0.7854545454545454,35.93643639822827,89.84109099557067,40.03937856266528,"True",0.8975273265538947,-4.10294216443701,49.80171243290539
95,1,370,0.7000000000000001,80,0.6872727272727274,38.41766648678936,96.0441662169734,39.44780874996942,"True",0.973885944598105,-1.0301422631800605,56.596357467003976
